"ID","ID_wyrobu","ID_licznik","ID_typskladnika","ID_skladnika","Naważka","Poziom"
88,45,2,2,128,12.80,0
89,46,1,2,59,0.00,0
90,47,1,2,57,0.00,0
91,48,1,2,58,0.00,0
92,49,1,2,21,0.00,0
93,50,1,2,45,0.00,0
94,51,1,2,44,0.00,0
95,53,1,2,37,0.00,0
96,55,1,2,114,0.00,1
97,56,1,2,45,0.00,0
98,57,1,2,44,0.00,0
99,59,1,2,20,0.00,0
100,63,1,2,21,0.00,0
101,65,2,2,60,0.00,0
102,66,1,2,20,0.00,0
103,86,1,2,173,22.00,1
104,86,2,1,506,12.00,2
105,86,3,3,66,6.00,3
106,86,4,1,211,3.00,4
107,87,1,3,41,6.50,0
108,87,2,1,506,12.00,0
109,87,3,2,12,0.00,0
110,88,1,2,62,18.00,1
111,88,2,1,118,15.00,1
112,88,3,1,506,30.00,2
113,89,1,3,3,0.00,0
114,89,2,1,506,0.00,0
115,89,3,2,10,0.00,0
116,90,1,3,4,0.00,0
117,90,2,1,506,0.00,0
118,90,3,2,9,0.00,0
119,92,1,1,506,0.00,0
120,93,1,2,50,0.00,0
121,94,1,2,49,0.00,0
122,95,1,2,48,0.00,0
123,96,1,2,47,0.00,0
124,97,1,2,50,0.00,0
125,98,1,2,49,0.00,0
126,100,1,1,506,0.00,0
127,101,1,1,506,0.00,0
128,104,1,2,20,0.00,0
129,106,1,2,19,0.00,0
130,107,1,2,17,0.00,0
131,110,1,2,133,0.00,0
132,110,2,1,506,0.00,0
133,110,3,2,132,11.80,0
134,112,1,1,8,0.50,0
135,112,2,2,159,5.00,0
136,112,3,2,158,9.00,0
137,112,4,1,189,9.00,0
138,113,1,1,506,0.00,0
139,113,2,1,112,6.00,0
140,113,3,1,27,25.00,0
141,114,1,1,506,0.00,0
142,115,1,2,33,11.00,0
143,115,2,1,188,16.00,0
144,115,3,2,62,18.00,0
145,116,1,1,67,0.00,0
146,116,2,1,506,51.00,0
147,116,3,1,65,0.00,0
148,117,1,1,506,0.00,0
149,117,2,3,9,5.00,0
150,117,3,2,61,0.00,0
151,118,1,3,29,0.00,0
152,118,2,1,506,0.00,0
153,119,1,1,8,0.50,0
154,119,2,2,103,5.00,0
155,119,3,2,123,9.00,0
156,119,4,1,125,9.00,0
157,120,1,1,8,0.50,0
158,120,2,2,103,5.00,0
159,120,3,2,123,9.00,0
160,120,4,1,125,9.00,0
161,121,1,1,8,1.00,0
162,121,2,1,91,16.00,0
163,121,3,2,32,18.00,0
164,121,4,2,33,0.00,0
165,122,1,1,117,15.00,0
166,122,2,2,62,18.00,0
167,123,1,1,506,0.00,0
168,124,1,1,506,0.00,0
169,125,1,1,88,81.00,0
170,125,2,1,506,114.00,0
171,125,3,2,224,0.00,0
172,126,1,1,506,0.00,0
173,128,1,1,506,0.00,0
174,128,2,2,63,0.00,0
175,129,1,1,506,0.00,0
176,129,2,2,53,0.00,0
177,130,1,1,506,0.00,0
178,131,1,1,506,0.00,0
179,132,1,1,506,0.00,0
180,133,1,2,119,0.00,1
181,134,1,1,133,60.00,0
182,134,2,3,64,102.00,0
183,134,3,1,506,238.00,0
184,134,4,2,156,0.00,0
185,135,1,3,64,162.00,0
186,135,2,1,506,238.00,0
187,135,3,2,157,0.00,0
188,136,1,1,506,0.00,0
189,137,1,1,506,0.00,0
190,138,1,1,506,0.00,0
191,139,1,1,506,0.00,0
192,140,1,2,210,14.00,1
193,140,2,1,506,13.00,2
194,140,3,3,55,7.00,3
195,140,4,1,65,8.00,3
196,141,1,1,506,0.00,0
197,142,1,1,506,0.00,0
198,143,1,1,506,0.00,0
199,144,1,2,113,195.00,1
200,144,2,1,506,66.00,2
201,144,3,3,64,22.00,3
202,145,1,1,506,0.00,0
203,146,1,1,506,0.00,0
204,147,1,2,114,0.00,0
205,148,1,1,176,2.00,0
206,148,2,3,52,8.00,0
207,148,3,1,150,12.00,0
208,148,4,1,506,16.00,0
209,148,5,2,109,0.00,0
210,149,1,3,64,0.00,0
211,149,2,2,157,0.00,0
212,149,3,1,506,0.00,0
213,149,4,1,133,60.00,0
214,149,5,2,156,0.00,0
215,150,1,1,87,4.00,0
216,150,2,3,54,7.00,0
217,150,3,1,506,14.00,0
218,150,4,2,134,0.00,0
219,151,1,1,94,4.00,0
220,151,2,3,54,7.00,0
221,151,3,2,134,0.00,0
222,152,1,1,87,4.00,0
223,152,2,3,54,7.00,0
224,152,3,1,506,14.00,0
225,152,4,2,134,0.00,0
226,153,1,1,87,4.00,0
227,153,2,2,134,4.60,0
228,153,3,3,54,7.00,0
229,153,4,1,506,14.00,0
230,154,1,1,87,4.00,0
231,154,2,3,54,7.00,0
232,154,3,1,506,14.00,0
233,154,4,2,134,0.00,0
234,155,1,1,87,4.00,0
235,155,2,3,54,7.00,0
236,155,3,1,506,14.00,0
237,155,4,2,134,0.00,0
238,156,1,1,87,4.00,0
239,156,2,2,134,4.60,0
240,156,3,3,54,7.00,0
241,156,4,1,506,14.00,0
242,157,1,1,87,4.00,0
243,157,2,3,54,7.00,0
244,157,3,1,506,14.00,0
245,157,4,2,134,0.00,0
246,158,1,1,87,4.00,0
247,158,2,2,134,4.60,0
248,158,3,3,54,7.00,0
249,158,4,1,506,14.00,0
250,159,1,1,87,4.00,0
251,159,2,2,134,4.60,0
252,159,3,3,54,7.00,0
253,159,4,1,506,14.00,0
254,160,1,1,87,4.00,0
255,160,2,3,54,7.00,0
256,160,3,1,506,14.00,0
257,160,4,2,134,0.00,0
258,161,1,2,135,105.00,1
259,161,2,1,506,221.00,2
260,161,3,1,159,86.00,3
261,163,1,3,43,0.00,0
262,163,2,1,506,0.00,0
263,163,3,1,150,6.50,0
264,163,4,2,109,0.00,0
265,164,1,3,43,0.00,0
266,164,2,1,67,0.00,0
267,164,3,1,506,0.00,0
268,164,4,1,150,5.00,0
269,164,5,2,61,0.00,0
270,165,1,5,577,66.00,1
271,165,2,5,576,66.00,1
272,165,3,5,578,66.00,1
273,166,1,2,129,12.80,0
274,167,1,2,134,26.00,1
275,167,2,1,506,14.00,2
276,167,3,3,54,7.00,3
277,167,4,1,87,4.00,3
278,168,1,1,44,15.00,0
279,168,2,1,117,15.00,0
280,168,3,1,148,15.00,0
281,168,4,2,136,18.00,0
282,169,1,1,506,0.00,0
283,169,2,2,149,19.30,0
284,170,1,1,506,0.00,0
285,171,1,1,133,4.00,0
286,171,2,3,54,7.00,0
287,171,3,1,506,14.00,0
288,171,4,2,134,0.00,0
289,172,1,2,119,0.00,1
290,173,1,1,87,4.00,0
291,173,2,3,54,7.00,0
292,173,3,1,506,14.00,0
293,173,4,2,134,0.00,0
294,174,1,2,103,5.00,0
295,174,2,2,123,9.00,0
296,174,3,1,125,9.00,0
297,175,1,1,506,0.00,0
298,175,2,2,146,19.30,0
299,178,1,1,506,0.00,0
300,178,2,2,147,19.30,0
301,179,1,1,506,0.00,0
302,179,2,2,148,19.30,0
303,180,1,1,506,0.00,0
304,180,2,2,149,19.30,0
305,181,1,2,149,0.00,0
306,181,2,1,506,0.00,0
307,181,3,2,147,19.30,0
308,182,1,2,148,0.00,0
309,182,2,1,506,0.00,0
310,182,3,2,146,19.30,0
311,183,1,2,210,14.50,1
312,183,2,1,506,10.50,2
313,183,3,3,55,9.00,3
314,183,4,1,65,8.50,4
315,183,5,1,193,0.50,5
316,184,1,1,506,0.00,0
317,185,1,2,135,105.00,1
318,185,2,1,506,221.00,2
319,185,3,1,174,86.00,3
320,186,1,1,506,0.00,0
321,186,2,2,147,19.30,0
322,187,1,2,129,12.80,0
323,188,1,1,171,3.00,0
324,188,2,3,55,8.00,0
325,188,3,1,65,8.00,0
326,188,4,1,506,10.00,0
327,188,5,2,61,0.00,0
330,190,1,1,506,0.00,0
331,190,2,2,188,0.00,0
332,191,1,2,154,20.00,1
333,191,2,1,506,11.00,2
334,191,3,3,60,8.00,3
335,191,4,1,150,7.00,4
336,192,1,1,87,4.00,0
337,192,2,3,54,7.00,0
338,192,3,1,506,14.00,0
339,192,4,2,134,0.00,0
340,193,1,1,506,0.00,0
341,194,1,3,64,162.00,0
342,194,2,1,506,228.00,0
343,194,3,2,100,0.00,0
344,195,1,1,94,60.00,0
345,195,2,3,64,102.00,0
346,195,3,1,506,228.00,0
347,195,4,2,99,0.00,0
348,196,1,1,506,0.00,0
349,197,1,1,506,0.00,0
350,198,1,3,51,0.00,0
351,198,2,1,506,0.00,0
352,198,3,2,61,0.00,0
353,199,1,1,180,0.00,0
354,199,2,1,181,0.00,0
355,199,3,1,506,0.00,0
356,200,1,3,51,0.00,0
357,200,2,1,506,0.00,0
358,200,3,2,100,0.00,0
359,201,1,1,506,0.00,0
360,202,1,1,44,15.00,0
361,202,2,1,92,15.00,0
362,202,3,1,117,15.00,0
363,202,4,2,62,18.00,0
364,203,1,1,86,15.00,0
365,203,2,2,62,18.00,0
366,204,1,1,187,0.00,0
367,204,2,1,506,0.00,0
368,205,1,1,506,0.00,0
369,206,1,3,51,0.00,0
370,206,2,2,61,0.00,0
371,206,3,1,506,0.00,0
372,207,1,1,44,15.00,0
373,207,2,1,92,15.00,0
374,207,3,1,117,15.00,0
375,207,4,2,62,18.00,0
376,208,1,1,184,0.00,0
377,208,2,3,65,10.00,0
378,208,3,1,506,18.00,0
379,208,4,2,160,0.00,0
380,209,1,1,87,4.00,0
381,209,2,2,134,4.60,0
382,209,3,3,54,7.00,0
383,209,4,1,506,14.00,0
384,210,1,1,87,4.00,0
385,210,2,2,134,4.60,0
386,210,3,3,54,7.00,0
387,210,4,1,506,14.00,0
388,211,1,1,8,1.00,0
389,211,2,2,162,18.00,0
390,211,3,2,161,21.00,0
391,211,4,1,188,30.00,0
392,212,1,2,162,18.00,0
393,212,2,2,161,21.00,0
394,212,3,1,188,28.00,0
395,213,1,2,62,0.00,0
396,213,2,1,192,0.00,0
397,213,3,1,506,0.00,0
398,214,1,1,8,0.50,0
399,214,2,2,103,5.00,0
400,214,3,2,123,9.00,0
401,214,4,1,125,9.00,0
402,215,1,2,114,0.00,0
403,216,1,1,506,0.00,0
404,217,1,1,506,0.00,0
405,217,2,2,164,24.90,0
406,218,1,1,8,0.50,0
407,218,2,2,166,19.00,0
408,218,3,2,165,21.00,0
409,218,4,1,199,30.00,0
410,219,1,2,164,0.00,0
411,219,2,1,506,0.00,0
412,219,3,2,163,24.90,0
413,220,1,1,184,0.00,0
414,220,2,3,65,10.00,0
415,220,3,1,506,18.00,0
416,220,4,2,160,0.00,0
417,221,1,2,168,16.00,0
418,221,2,2,167,21.00,0
419,221,3,1,202,30.00,0
420,222,1,2,170,16.00,0
421,222,2,2,169,21.00,0
422,222,3,1,203,30.00,0
423,223,1,2,157,0.00,0
424,223,2,3,64,116.00,0
425,223,3,1,506,164.00,0
426,224,1,2,156,0.00,0
427,224,2,1,133,43.00,0
428,224,3,3,64,73.00,0
429,224,4,1,506,164.00,0
430,225,1,1,506,0.00,0
431,226,1,2,139,17.00,0
432,226,2,2,141,21.00,0
433,226,3,1,162,32.00,0
434,227,1,2,172,10.00,0
435,227,2,1,188,15.00,0
436,227,3,2,171,18.00,0
440,229,1,2,62,18.00,1
441,229,2,1,210,16.00,1
442,229,3,1,506,30.00,2
443,230,1,1,44,8.00,0
444,230,2,1,92,8.00,0
445,230,3,1,117,8.00,0
446,230,4,2,176,9.00,0
447,231,1,1,67,2.00,0
448,231,2,3,43,48.00,0
449,231,3,1,506,48.00,0
450,231,4,1,65,52.00,0
451,231,5,2,109,0.00,0
452,232,1,2,133,12.80,0
453,233,1,1,506,0.00,0
454,233,2,2,174,12.80,0
455,234,1,2,210,15.00,1
456,234,2,1,506,10.00,2
457,234,3,3,55,8.00,3
458,234,4,1,65,8.00,4
459,235,1,2,61,1.70,0
460,235,2,3,64,8.00,0
461,235,3,1,65,8.00,0
462,235,4,1,506,10.00,0
463,236,1,3,62,9.50,0
464,236,2,1,65,9.50,0
465,236,3,1,506,10.00,0
466,236,4,2,61,0.00,0
467,236,5,1,171,0.00,0
468,237,1,2,210,13.00,1
469,237,2,1,506,9.00,2
470,237,3,3,55,7.75,3
472,237,5,1,193,0.75,5
473,238,1,2,210,13.00,1
474,238,2,1,506,9.00,2
475,238,3,3,55,7.75,3
476,238,4,1,65,7.50,4
477,238,5,1,193,1.00,5
478,239,1,1,44,15.00,0
479,239,2,1,92,15.00,0
480,239,3,1,117,15.00,0
481,239,4,2,62,18.00,0
482,240,1,2,329,20.10,1
483,240,2,1,506,16.00,2
484,240,3,3,47,8.00,3
485,240,4,1,345,12.00,4
486,240,5,1,650,2.00,5
487,241,1,1,94,60.00,0
488,241,2,3,64,102.00,0
489,241,3,1,506,228.00,0
490,241,4,2,99,0.00,0
491,242,1,3,64,162.00,0
492,242,2,1,506,228.00,0
493,243,1,1,87,4.00,0
494,243,2,3,54,7.00,0
495,243,3,1,506,14.00,0
496,243,4,2,134,0.00,0
497,244,1,3,64,162.00,0
498,244,2,1,506,228.00,0
499,244,3,2,100,0.00,0
500,245,1,1,179,10.00,0
501,245,2,1,219,10.00,0
502,245,3,1,506,11.00,0
503,245,4,2,99,0.00,0
504,246,1,2,178,0.00,0
505,247,1,2,132,0.00,0
506,248,1,2,133,0.00,0
507,251,1,1,8,0.20,0
508,251,2,2,196,5.00,0
509,251,3,2,195,9.00,0
510,251,4,1,221,9.00,0
511,252,1,1,176,0.00,0
512,252,2,1,226,40.00,0
513,252,3,1,65,60.00,0
514,252,4,3,55,70.00,0
515,252,5,1,506,130.00,0
516,252,6,2,182,0.00,0
517,253,1,2,185,10.00,0
518,253,2,1,188,15.00,0
519,253,3,2,62,18.00,0
520,254,1,3,47,36.00,0
521,254,2,1,65,40.00,0
522,254,3,1,506,51.00,0
523,254,4,2,109,0.00,0
524,255,1,2,210,14.00,1
525,255,2,1,506,10.00,2
526,255,3,3,55,8.00,3
527,255,4,1,65,8.00,4
528,255,5,1,193,1.00,5
529,256,1,2,210,18.10,1
530,256,2,1,506,10.50,2
531,256,3,3,55,9.00,3
532,256,4,1,65,8.50,4
533,256,5,1,193,0.50,5
534,257,1,2,119,0.00,1
535,258,1,1,506,0.00,0
536,258,2,2,186,0.00,0
537,260,1,2,114,0.00,1
539,261,2,1,506,13.00,2
540,261,3,3,54,7.00,3
541,261,4,1,133,4.00,4
542,261,5,1,176,1.00,5
543,262,1,2,109,220.00,1
544,262,2,1,506,51.00,2
545,262,3,3,47,36.00,3
546,262,4,1,65,40.00,4
547,262,5,1,176,4.00,5
548,263,1,3,55,8.00,0
549,263,2,1,65,8.00,0
550,263,3,1,506,10.00,0
551,263,4,2,210,0.00,0
552,264,1,1,506,580.00,0
553,264,2,2,192,0.00,0
554,265,1,1,176,0.00,0
555,265,2,1,226,40.00,0
556,265,3,1,65,60.00,0
557,265,4,3,55,70.00,0
558,265,5,1,506,130.00,0
559,265,6,2,182,0.00,0
560,266,1,2,210,13.00,1
561,266,2,1,506,9.00,2
562,266,3,3,55,7.75,3
563,266,4,1,65,7.50,4
564,266,5,1,193,0.75,5
565,268,1,2,194,0.00,1
566,269,1,2,194,0.00,1
567,270,1,1,193,1.00,0
568,270,2,3,62,8.00,0
569,270,3,1,65,9.00,0
570,270,4,1,506,10.00,0
571,270,5,2,61,0.00,0
572,271,1,2,31,18.00,1
573,271,2,1,93,15.00,2
574,271,3,1,96,15.00,2
575,271,4,1,119,15.00,2
576,271,5,1,506,30.00,3
577,272,1,2,31,18.00,1
578,272,2,1,86,15.00,2
579,272,3,1,506,30.00,3
580,273,1,5,571,60.00,1
581,273,2,5,570,60.00,1
582,273,3,5,571,60.00,1
583,274,1,1,8,0.20,0
584,274,2,2,196,5.00,0
585,274,3,2,195,9.00,0
586,274,4,1,229,9.00,0
587,275,1,1,8,0.20,0
588,275,2,2,196,5.00,0
589,275,3,2,195,9.00,0
590,275,4,1,203,9.00,0
591,276,1,5,571,60.00,1
592,276,2,5,570,60.00,1
593,276,3,5,571,60.00,1
594,277,1,2,114,0.00,1
595,278,1,2,210,13.00,1
596,278,2,1,506,9.00,2
597,278,3,3,55,7.75,3
598,278,4,1,345,7.50,4
599,278,5,1,193,0.75,5
601,279,2,1,506,78.00,2
602,279,3,3,54,42.00,3
603,279,4,1,133,24.00,4
604,279,5,1,176,6.00,5
605,280,1,1,176,2.00,0
606,280,2,3,52,8.00,0
607,280,3,1,150,12.00,0
608,280,4,1,506,16.00,0
609,280,5,2,109,0.00,0
610,281,1,2,198,165.00,1
611,281,2,1,506,79.50,2
612,281,3,3,67,32.50,3
613,282,1,1,219,10.00,0
614,282,2,1,228,10.00,0
615,282,3,1,506,11.00,0
616,282,4,2,99,0.00,0
617,283,1,2,210,14.00,1
618,283,2,1,506,10.00,2
619,283,3,3,55,8.00,3
620,283,4,1,65,8.00,4
621,284,1,2,210,2.50,0
622,284,2,3,55,8.00,0
623,284,3,1,65,8.00,0
624,284,4,1,506,10.00,0
625,285,1,1,87,4.00,0
626,285,2,2,134,4.60,0
627,285,3,3,54,7.00,0
628,285,4,1,506,14.00,0
629,288,1,2,30,11.00,0
630,288,2,1,30,19.00,0
631,288,3,2,31,21.00,0
632,289,1,2,114,0.00,0
633,290,1,2,195,8.50,1
634,290,2,1,248,9.00,1
635,290,3,2,196,5.00,1
636,290,4,1,8,0.20,1
637,290,5,1,506,22.00,2
638,291,1,2,195,8.50,1
639,291,2,1,247,9.00,1
640,291,3,2,196,5.00,1
641,291,4,1,8,0.20,1
642,291,5,1,506,22.00,2
643,293,1,1,133,60.00,0
644,293,2,3,64,102.00,0
645,293,3,1,506,238.00,0
646,293,4,2,156,0.00,0
647,294,1,3,64,162.00,0
648,294,2,1,506,238.00,0
649,294,3,2,157,0.00,0
650,296,1,2,109,170.00,1
651,296,2,1,506,16.00,2
652,296,3,3,47,8.00,3
653,296,4,1,65,12.00,4
654,296,5,1,176,2.00,5
658,299,1,2,194,0.00,1
660,300,2,1,506,13.00,2
661,300,3,3,69,7.00,3
662,300,4,1,226,4.00,4
663,300,5,1,193,1.00,5
664,301,1,2,194,0.00,1
665,303,1,1,88,32.00,0
666,303,2,1,506,80.00,0
667,303,3,2,99,0.00,0
668,304,1,2,201,8.60,1
669,304,2,1,426,9.00,1
670,304,3,2,202,5.00,1
671,304,4,1,8,0.20,1
672,304,5,1,506,22.00,2
673,305,1,1,192,15.00,0
674,305,2,2,62,18.00,0
675,306,1,2,210,14.00,1
676,306,2,1,506,10.00,2
677,306,3,3,55,8.00,3
678,306,4,1,65,8.00,4
679,307,1,1,8,0.20,0
680,307,2,2,201,5.00,0
681,307,3,1,125,9.00,0
682,307,4,2,202,9.00,0
683,308,1,3,63,8.00,0
684,308,2,1,65,9.00,0
685,308,3,1,506,10.00,0
686,308,4,2,61,0.00,0
688,309,2,1,506,170.00,2
689,309,3,3,70,125.00,3
690,309,4,1,8,5.00,4
692,310,2,1,506,170.00,2
693,310,3,3,70,85.00,3
694,310,4,1,87,50.00,4
695,310,5,1,8,5.00,5
696,311,1,2,203,200.00,1
697,311,2,1,506,170.00,2
698,311,3,3,70,80.00,3
699,311,4,1,238,50.00,4
700,311,5,1,8,5.00,5
701,312,1,2,203,200.00,1
702,312,2,1,506,170.00,2
703,312,3,3,70,85.00,3
704,312,4,1,237,50.00,4
705,312,5,1,8,5.00,5
706,313,1,1,8,0.20,0
707,313,2,2,159,5.00,0
708,313,3,2,158,9.00,0
709,313,4,1,221,9.00,0
710,314,1,2,205,8.50,1
711,314,2,2,206,5.00,1
712,314,3,1,235,9.00,2
713,314,4,1,8,0.20,3
714,314,5,1,506,20.32,4
715,315,1,2,202,5.00,0
716,315,2,2,201,9.00,0
717,315,3,1,233,9.00,0
718,316,1,1,8,0.20,0
719,316,2,2,159,5.00,0
720,316,3,2,158,9.00,0
721,316,4,1,221,9.00,0
722,317,1,1,8,0.20,0
723,317,2,2,159,5.00,0
724,317,3,2,158,9.00,0
725,317,4,1,221,9.00,0
726,318,1,2,208,5.00,0
727,318,2,2,207,9.00,0
728,318,3,1,240,9.00,0
729,319,1,2,208,5.00,0
730,319,2,1,203,9.00,0
731,319,3,2,207,9.00,0
732,323,1,1,65,8.00,0
733,323,2,3,55,8.50,0
734,323,3,1,506,10.00,0
735,323,4,2,210,0.00,0
737,325,2,1,506,170.00,2
738,325,3,3,70,125.00,3
739,325,4,1,8,5.00,4
741,326,2,1,506,170.00,2
742,326,3,3,70,85.00,3
743,326,4,1,87,50.00,4
744,326,5,1,8,5.00,4
745,327,1,2,203,200.00,1
746,327,2,1,506,170.00,2
747,327,3,3,70,85.00,3
748,327,4,1,238,50.00,4
749,327,5,1,8,5.00,5
751,328,2,1,506,170.00,2
752,328,3,3,70,85.00,3
753,328,4,1,237,50.00,4
754,328,5,1,8,5.00,5
755,329,1,1,65,8.00,0
756,329,2,3,55,8.50,0
757,329,3,1,506,10.00,0
758,329,4,2,210,0.00,0
759,330,1,5,571,90.00,1
760,330,2,5,570,90.00,1
761,330,3,5,569,90.00,1
762,331,1,3,55,0.00,0
763,331,2,2,210,0.00,0
764,331,3,1,506,0.00,0
765,333,1,2,129,12.80,0
766,334,1,1,176,1.00,0
767,334,2,2,128,12.80,0
768,335,1,2,209,0.00,1
769,336,1,2,114,0.00,0
771,337,2,1,506,170.00,2
772,337,3,3,70,85.00,3
773,337,4,1,237,50.00,4
774,337,5,1,8,5.00,5
776,338,2,1,506,170.00,2
777,338,3,3,70,85.00,3
778,338,4,1,238,50.00,4
779,338,5,1,8,5.00,5
781,339,2,1,506,170.00,2
782,339,3,3,70,85.00,3
783,339,4,1,87,50.00,4
784,339,5,1,8,5.00,5
786,340,2,1,506,170.00,2
787,340,3,3,70,125.00,3
788,340,4,1,8,5.00,4
789,341,1,2,132,0.00,0
790,342,1,1,506,0.00,0
791,342,2,2,133,0.00,0
792,343,1,2,129,0.00,0
793,344,1,2,174,0.00,0
794,345,1,1,176,2.00,0
795,345,2,3,52,8.00,0
796,345,3,1,150,12.00,0
797,345,4,1,506,16.00,0
798,345,5,2,109,24.10,0
799,346,1,2,129,0.00,0
800,347,1,1,176,0.00,0
801,347,2,2,128,0.00,0
802,348,1,2,211,18.00,1
803,348,2,1,506,8.50,2
804,348,3,1,179,7.50,3
805,348,4,1,150,7.00,4
806,349,1,2,196,5.00,0
807,349,2,2,195,9.00,0
808,350,1,1,44,15.00,0
809,350,2,1,92,15.00,0
810,350,3,1,117,15.00,0
811,350,4,2,62,18.00,0
812,351,1,2,196,5.00,0
813,351,2,2,195,9.00,0
814,351,3,1,234,9.00,0
815,352,1,1,8,0.20,0
816,352,2,2,196,5.00,0
817,352,3,2,195,9.00,0
818,352,4,1,246,9.00,0
819,353,1,2,212,0.00,0
820,354,1,2,109,220.00,1
821,354,2,1,506,51.00,2
822,354,3,3,71,36.00,3
823,354,4,1,65,40.00,4
824,355,1,2,61,16.00,1
825,355,2,1,506,10.50,2
826,355,3,3,64,5.00,3
827,355,4,1,65,9.00,
828,356,1,2,213,170.00,1
829,356,2,1,506,16.00,2
830,356,3,3,71,8.00,3
831,356,4,1,65,12.00,4
832,356,5,1,171,2.00,5
833,357,1,2,61,15.00,1
834,357,2,1,506,10.00,2
835,357,3,3,64,8.00,3
836,357,4,1,150,8.00,4
837,358,1,2,62,18.00,1
838,358,2,2,172,10.00,1
839,358,3,1,260,16.00,2
840,358,4,1,506,39.00,2
841,360,1,1,252,60.00,0
842,360,2,3,72,140.00,0
843,360,3,1,506,242.00,0
844,360,4,2,214,260.00,0
845,361,1,2,214,550.00,1
846,361,2,1,506,490.00,2
847,361,3,3,72,250.00,3
848,361,4,1,276,120.00,4
849,364,1,2,210,13.00,1
850,364,2,1,506,9.00,2
851,364,3,3,55,7.75,3
852,364,4,1,65,7.50,4
853,364,5,1,193,0.75,5
854,365,1,1,192,8.50,0
855,365,2,2,217,8.50,0
856,366,1,1,118,8.50,0
857,366,2,2,217,9.00,0
858,367,1,2,217,9.00,1
859,367,2,1,117,8.50,1
860,367,3,1,506,17.00,2
861,368,1,2,109,210.00,1
862,368,2,1,506,51.00,2
863,368,3,3,52,36.00,3
864,368,4,1,265,45.00,4
865,369,1,2,109,5.70,0
866,369,2,3,74,36.00,0
867,369,3,1,265,45.00,0
868,369,4,1,506,51.00,0
869,370,1,2,184,18.00,1
870,370,2,1,118,15.00,1
871,370,3,1,506,30.00,2
872,371,1,2,184,18.00,1
873,371,2,1,117,15.00,1
874,371,3,1,506,270.00,2
875,372,1,5,570,90.00,1
876,372,2,5,569,90.00,1
877,372,3,5,571,90.00,1
878,373,1,2,30,10.00,0
879,373,2,1,30,15.00,0
880,373,3,2,31,18.00,0
881,374,1,2,217,9.00,1
882,374,2,1,44,8.50,1
883,374,3,1,92,8.50,1
884,374,4,1,117,8.50,1
885,374,5,1,506,17.00,2
886,375,1,2,224,195.00,1
887,375,2,1,506,114.00,2
888,375,3,1,88,81.00,3
889,376,1,1,8,0.20,0
890,376,2,2,195,5.00,0
